(Übergeordnete) ASIN,(Untergeordnete) ASIN,Titel,SKU,Sitzungen – Summe,Sitzungen – Summe – B2B,Prozentwert an Sitzungen – Summe,Prozentsatz Sitzung – Summe – B2B,Seitenaufrufe – Summe,Seitenaufrufe – Summe – B2B,Prozentsatz Seitenaufrufe – Summe,Prozentsatz Seitenaufrufe – Summe – B2B,Hervorgehobenes Angebot ("In-den-Einkaufswagen") – Prozentsatz,Hervorgehobenes Angebot (Einkaufswagen-Feld) Prozentwert – B2B,Bestellte Einheiten,Bestellte Einheiten – B2B,Prozentsatz an Einheiten pro Sitzung,Prozentsatz an Einheiten pro Sitzung – B2B,Durch bestellte Produkte erzielter Umsatz,Bestellsumme – B2B,Zahl der Bestellposten,Zahl der Bestellposten – B2B
B08SJ4RJQG,B08SHXR9X1,"Druckluftkupplung Kupplungsdose NW 7,2 G 1/2"" Druckluft Kupplungsstecker Außengewinde Messing Gewindestecker",KDG 12 NW7 (PRIME),202,20,0.30%,0.40%,270,26,0.29%,0.37%,100.00%,100.00%,51,13,25.25%,65.00%,"503,40 €","126,57 €",33,6
B08SJ4RJQG,B08SJ63Q5K,"Druckluftkupplung Kupplungsdose Druckluft Kupplungsstecker mit Schlauchtülle Messing NW 7,2 10mm",KDS 10 NW7  PRIME,168,21,0.25%,0.42%,242,26,0.26%,0.37%,100.00%,100.00%,52,17,30.95%,80.95%,"519,51 €","169,70 €",33,8
B08L517ZSZ,B01E7CBVI6,"T-Schlauchverbinder, Y-Schlauchverbinder, Kreuz-Schlauchverbinder Messing (9 mm, T-Schlauchverbinder)",T 9 MS-PRIME,131,15,0.20%,0.30%,186,18,0.20%,0.26%,100.00%,100.00%,54,17,41.22%,113.33%,"431,97 €","135,68 €",32,6
B0CV7YDHN4,B00BQWNPGC,Elmag 42402 Druckluft-Muffe | Innengewinde 1/4 Zoll | Messing,MU 14 MS PRIME,101,9,0.15%,0.18%,149,11,0.16%,0.16%,100.00%,100.00%,32,5,31.68%,55.56%,"152,79 €","23,21 €",30,4
B08KJG3ZVP,B0108HHIAE,5 Stück Steckverschraubung Pneumatik Steckverbinder Schnellsteckverbinder Push In (M 5 x 6mm) zylindrisch,IQSG M56-5 (PRIME),278,23,0.42%,0.46%,392,25,0.42%,0.36%,100.00%,100.00%,36,10,12.95%,43.48%,"246,70 €","64,40 €",30,6
B08FCF8P6M,B00KWD9ZOM,Spiral-Ersatzschlauch für Braun Munddusche (blau),BES- blau,183,4,0.27%,0.08%,237,4,0.26%,0.06%,73.91%,0.00%,29,0,15.85%,0.00%,"188,21 €","0,00 €",29,0
B08FCF8P6M,B00KWDA03C,Spiral-Ersatzschlauch für Braun Munddusche (transparent),BES-transparent,253,7,0.38%,0.14%,332,9,0.36%,0.13%,76.04%,60.00%,30,0,11.86%,0.00%,"194,70 €","0,00 €",29,0
B08KT4SNN7,B077Z32TJZ,"Blubberschlauch Silikonschlauch für Stimmtherapie und Stimmtraining - Logopädie Blubber Schlauch aus aus platinvernetztem Silikon (transparent (milchig), 25 Schläuche)",LV1014_25,116,13,0.17%,0.26%,140,16,0.15%,0.23%,90.57%,100.00%,29,8,25.00%,61.54%,"2.900,00 €","800,00 €",29,8
B08M68ZQSN,B08KY9DLGL,"Druckluftkupplung Kupplungsstecker Innengewinde 1/8""",KSGI 18 NW7 PRIME,416,36,0.62%,0.72%,523,45,0.57%,0.64%,100.00%,100.00%,40,9,9.62%,25.00%,"158,59 €","34,63 €",29,5
B08PVPNBYC,B08S31CLCR,Druckluft-Schnellwechselkupplung Kugelhahn Dosierhahn Absperrhahn 1/4 Zoll mit Stecknippel 1/4 Zoll und Kupplungsdose 1/4 Zoll NW 7,KHKDGKSG 14 (Prime),286,32,0.43%,0.64%,394,43,0.43%,0.62%,98.71%,100.00%,30,5,10.49%,15.63%,"600,72 €","99,95 €",29,5
B08KT4SNN7,B0CYQJCYTW,"Blubberschlauch Silikonschlauch für Stimmtherapie und Stimmtraining - Logopädie Blubber Schlauch aus aus platinvernetztem Silikon (transparent (milchig), 1 Kids-Set Gelb)",SET-KIDS-GELB PRIME,502,9,0.75%,0.18%,598,9,0.65%,0.13%,99.82%,100.00%,28,0,5.58%,0.00%,"529,93 €","0,00 €",27,0
B08M68ZQSN,B003IDB5E6,"Druckluft Kupplungsstecker Tülle Schlauchanschluss 6 (1/4"") mm",KSS 6 NW7-PRIME,225,18,0.34%,0.36%,333,21,0.36%,0.30%,100.00%,100.00%,40,0,17.78%,0.00%,"159,69 €","0,00 €",26,0
B08M68ZQSN,B08KYQ4GB8,"Airfit Schnellkupplung Messing, Kupplungsstecker mit 6x4mm Schlauchanschluss, Max 35 bar -20°C bis +100°C",KSK 4 NW7-PRIME,392,30,0.59%,0.60%,457,33,0.49%,0.47%,100.00%,100.00%,68,49,17.35%,163.33%,"338,68 €","243,71 €",26,7
B08N16ZTBV,B06W2JXH1W,3 Stück gerade Pneumatik Steckverbinder - Steckanschluss für Luft & Wasser - Schnellsteckverbinder - Push In Fitting (4mm),IQSG 40-3 (PRIME),123,10,0.18%,0.20%,166,12,0.18%,0.17%,99.30%,90.00%,31,11,25.20%,110.00%,"183,87 €","63,97 €",23,5
B08Q48X8VJ,B08QM8JKPQ,"Druckluftverteiler Wanddose Druckluftweiche aus Messing mit 1/2"" Eingangsgewinde und Kupplungsdosen NW 7,2 Luftweiche",WDKDG 12 MS-PRIME,153,15,0.23%,0.30%,231,25,0.25%,0.36%,100.00%,100.00%,44,14,28.76%,93.33%,"697,17 €","216,21 €",22,6
B08KT4SNN7,B0D96DHZJ5,"Blubberschlauch Silikonschlauch für Stimmtherapie und Stimmtraining - Logopädie Blubber Schlauch aus aus platinvernetztem Silikon (transparent (milchig), 1 Color Set Orange)",SET ORANGE PRIME,161,1,0.24%,0.02%,216,1,0.23%,0.01%,100.00%,100.00%,23,0,14.29%,0.00%,"459,94 €","0,00 €",22,0
B08SJ4RJQG,B08SJF4NCC,"Druckluftkupplung Kupplungsdose NW 7,2 G 1/4"" Druckluft Kupplungsstecker Außengewinde Messing Gewindestecker",KDG 14 NW7 (PRIME),111,7,0.17%,0.14%,152,12,0.16%,0.17%,99.23%,100.00%,29,11,26.13%,157.14%,"290,01 €","109,86 €",21,3
B00ENF4YLY,B00ENF4YLY,"RIEGLER 109848-140.006 Y-Steckverbindung »Blaue Serie«, für Schlauch-Außen-Ø 6 mm, 1Stk",IQSY 6 PRIME,245,9,0.37%,0.18%,328,9,0.35%,0.13%,94.67%,100.00%,35,1,14.29%,11.11%,"132,06 €","3,18 €",20,1
B08FB8BB9T,B071LSKMTB,Pneumatik Polyurethan PUN Schlauch 5 meter Außen 6mm x Innen 4mm Rot Flexibel Druckluftschlauch Luft Treibstoff Öl,PUN 6x4 ROT-5,335,27,0.50%,0.54%,416,32,0.45%,0.46%,86.96%,84.62%,23,5,6.87%,18.52%,"167,67 €","36,45 €",20,4
B075Z1L181,B075Z1L181,"REHAU RAUCLAIR-E lebensmittelechter PVC-Schlauch, Wasserschlauch, Luftschlauch| METERWARE (19. Innen-Außen: 13mm - 18mm)",PVC 1318-1,201,1,0.30%,0.02%,298,1,0.32%,0.01%,97.04%,100.00%,28,0,13.93%,0.00%,"167,72 €","0,00 €",20,0
B08KT4SNN7,B0D96CVF1V,"Blubberschlauch Silikonschlauch für Stimmtherapie und Stimmtraining - Logopädie Blubber Schlauch aus aus platinvernetztem Silikon (transparent (milchig), 1 Kids-Set Magenta)",SET-KIDS-MAGENTA PRIME,291,2,0.44%,0.04%,382,2,0.41%,0.03%,99.71%,100.00%,20,0,6.87%,0.00%,"378,96 €","0,00 €",20,0
